source_id,RA_deg,RA_error,Dec_deg,Dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor
1.43E+18,260.3207068,0.012743464,58.02036584,0.012343833,3.344986426,0.014015607,-14.05161414,0.015420246,8.556752679,0.018539246,-14.980134,0.57098067,86.48501468,34.57300608,11.276522,11.54126,10.851185,0.6900749,0.77400064,294.2517,1.1910932
1.43E+18,259.3929617,0.010909525,57.99506116,0.012092224,2.991700629,0.012251946,-6.353578967,0.014120466,11.75097803,0.015019319,-12.264703,0.29053348,86.49319262,35.06513138,11.258544,11.556997,10.794978,0.76201916,0.8194897,327.9847,1.1960357
1.43E+18,260.4788428,0.011184874,57.87761612,0.010217927,0.970259502,0.011843381,-6.734060857,0.013330814,-3.350280468,0.013936628,16.263296,2.8970752,86.30628758,34.49722579,13.414574,13.820971,12.844709,0.97626114,0.84575194,1064.3865,1.2102538
1.43E+18,259.4363564,0.010031175,57.92283495,0.011321165,6.51164162,0.010397951,3.459223539,0.013078858,-64.6452762,0.014836893,-26.545944,0.24440008,86.4031826,35.04730674,9.301533,9.530187,8.911694,0.6184931,0.88541675,153.0898,1.1902648
1.43E+18,259.4784996,0.011778979,57.76153223,0.01392932,1.651168034,0.012594248,-4.494927692,0.015990332,-5.743786295,0.01760259,-11.805593,0.5779025,86.20474595,35.03607213,11.729781,12.005023,11.294887,0.7101364,0.88564897,586.7397,1.1911284
1.43E+18,259.4409584,0.016850956,57.79737322,0.020612443,1.050562809,0.018185439,7.382629959,0.022849914,-2.235458716,0.026830744,-35.08148,8.008404,86.2500909,35.0535944,14.776782,15.217146,14.153644,1.0635023,0.89219767,921.0354,1.2306713
1.43E+18,260.1176593,0.012827321,57.88506882,0.012719539,2.380540053,0.013167337,5.147118293,0.016721942,-18.59570732,0.017817898,-27.08809,0.6916886,86.32857874,34.68852399,11.435532,11.708021,11.000102,0.7079191,0.8961822,407.1539,1.1928666
1.43E+18,260.1510704,0.00970463,58.35208598,0.0096616,0.884269462,0.009857253,1.274901413,0.014166607,9.294343522,0.013623354,20.190866,0.21088539,86.89395807,34.64189035,10.734594,11.2318945,10.078869,1.1530256,0.9003914,,1.2287424
1.43E+18,259.6265546,0.011089372,57.76350555,0.012297112,0.583476766,0.012752382,-2.369351359,0.013390276,-4.114998171,0.017092714,-7.9433503,0.27098322,86.20072224,34.95713939,11.571247,12.089141,10.897686,1.1914549,0.9014896,1709.7039,1.2328771
1.43E+18,259.5805438,0.012047819,57.68320578,0.012412484,1.033641039,0.011856819,-2.458506611,0.014694969,-5.224335396,0.015053938,-18.182634,2.3990016,86.10489918,34.98690978,13.668808,14.144411,13.031332,1.1130791,0.91527504,954.2296,1.225166
1.43E+18,260.383801,0.011533304,58.15751323,0.010626006,1.930982702,0.011407967,-3.604647092,0.014259876,-15.14427776,0.014722425,-15.814809,1.0380889,86.64888171,34.531691,11.847384,12.17166,11.360739,0.81092167,0.9153308,,1.1969484
1.43E+18,259.992812,0.009767839,57.7250226,0.009881656,0.531105459,0.010404465,-1.052186817,0.011657399,-15.63694109,0.014565739,-113.97219,1.5370011,86.13901393,34.76445821,13.472631,13.979144,12.811884,1.1672602,0.91884905,1590.9563,1.2284361
1.43E+18,259.7503704,0.013275187,57.675237,0.013680702,2.188010461,0.013766786,-25.29406818,0.016402729,16.0100402,0.017912725,-87.31652,2.8581758,86.08811511,34.89680585,14.062853,14.502478,13.458231,1.0442467,0.9208239,454.2648,1.2183647
1.43E+18,259.6254199,0.012195915,58.35875935,0.013709982,3.975962937,0.013324881,-6.930997735,0.01797984,31.07347077,0.024050267,-23.503561,0.6005561,86.9251458,34.91656016,9.150845,9.26678,8.930016,0.33676434,0.9222147,252.2233,1.1676457
1.43E+18,260.1278349,0.011510754,57.93204779,0.011152027,0.81808727,0.012092267,2.944657982,0.015312172,2.921653272,0.016141007,-25.650688,0.20700645,86.38521469,34.68031867,11.293192,11.881656,10.566988,1.3146677,0.92412704,,1.2434402
1.43E+18,259.7428901,0.009909603,58.32447318,0.013007922,2.408978855,0.010667605,-2.006032713,0.012922797,1.959192394,0.016277138,-1.656587,2.1244655,86.8780668,34.85752217,13.0363865,13.370652,12.539613,0.8310394,0.92793113,409.3507,1.1981975
1.43E+18,260.1562376,0.008705964,57.75091818,0.008682971,2.516356589,0.009221205,-10.16968935,0.010512758,5.852818268,0.012338228,-6.9087267,1.3115239,86.16425998,34.67585814,13.043671,13.4447775,12.482723,0.96205425,0.9326578,395.5495,1.2068703
1.43E+18,260.1355616,0.012162083,57.63628732,0.011765698,1.052944139,0.012868959,3.296397869,0.015758436,-6.628750646,0.01704044,-27.403645,3.234892,86.02584619,34.69340779,13.886501,14.180277,13.435504,0.7447729,0.9482591,900.4219,1.1909902
1.43E+18,260.5937677,0.018274296,57.57894592,0.019210188,3.148750541,0.019270733,21.32386915,0.025078949,-22.3417378,0.025608039,-21.915909,5.778035,85.94064482,34.45129142,15.107578,15.926448,14.219614,1.7068338,0.9527982,325.0883,1.2947999
1.43E+18,260.1645881,0.01816767,58.13620992,0.01698087,2.71939241,0.018633282,0.097051579,0.0238815,-13.76676025,0.02591712,6.643891,3.8630934,86.63153361,34.64845411,14.740419,15.384967,13.971008,1.4139585,0.956369,361.1194,1.2555647
1.43E+18,260.6803918,0.016105294,57.79337165,0.015740141,0.637118882,0.016152086,2.683501316,0.019483685,-10.54038711,0.018401362,-13.63469,6.831683,86.19750227,34.39445776,14.444809,14.773365,13.954081,0.81928444,0.9570502,1463.376,1.1973143
1.43E+18,260.2493208,0.009101596,58.35601215,0.0095702,2.170310807,0.009765735,5.89663375,0.012325003,10.20944822,0.014104771,-23.929193,2.9898229,86.89471211,34.59019584,13.058627,13.354477,12.599505,0.7549715,0.95833045,436.6533,1.1947236
1.43E+18,259.7031675,0.01092878,57.62416632,0.010892286,1.733559363,0.011414154,-4.221261805,0.01341961,-19.09893685,0.014742216,-45.067493,1.7520497,86.02788924,34.92521416,13.308352,13.670048,12.784323,0.885725,0.9676618,561.0287,1.2018082
1.43E+18,259.5954109,0.017577162,58.31912626,0.018313162,1.11400444,0.020347638,-8.861946386,0.023196215,7.304927461,0.025448143,-58.163193,5.5307555,86.87833303,34.93515459,14.61705,15.006912,14.067744,0.939168,0.96865976,866.1488,1.2045627
1.43E+18,259.85716,0.012583647,57.74522536,0.012067709,2.00102875,0.012566678,-2.289863417,0.014027717,15.0163275,0.015057192,-24.872826,2.7594433,86.16892407,34.8355142,13.884402,14.304422,13.304712,0.9997101,0.9687386,505.0073,1.2105024
1.43E+18,260.1158786,0.015935501,58.30579348,0.018102251,1.356061322,0.016226152,-5.074513397,0.020805014,-7.325821876,0.02572331,-52.986465,8.687584,86.839254,34.6633232,14.35488,14.690763,13.852091,0.83867264,0.9696415,711.5802,1.2010992
1.43E+18,259.8736697,0.009351573,57.63690738,0.009014959,1.386634873,0.00969535,-7.588210152,0.011477319,4.823832366,0.011359474,-5.4503694,2.1551208,86.0365485,34.83332057,13.076267,13.34998,12.645429,0.7045517,0.97003275,703.671,1.189578
1.43E+18,259.44788,0.01310402,58.10908988,0.013506226,1.100816178,0.013812843,-0.629248611,0.017265018,-4.976008352,0.017899012,-46.81805,4.955192,86.62954901,35.02791465,14.243884,14.582435,13.741321,0.84111404,0.9705914,849.3724,1.1996536
1.43E+18,259.4878202,0.015328109,58.26921304,0.015512703,3.27814177,0.017181547,-4.052642073,0.020871071,-17.74471535,0.021041477,-29.991669,5.4541254,86.82264715,34.99520597,14.459897,15.13888,13.669334,1.4695454,0.9708792,299.8262,1.2598804
