source_id,RA_deg,ra_error,Dec_deg,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor,duplicated_source
1433979186591185280,259.6006969309879,0.037914988,58.342315448261786,0.040067304,1.658550501374091,0.04278671,11.265699811767723,0.051935717,-17.686885915685846,0.05692365,,,86.90629672973023,34.930696821120755,16.362265,17.08718,15.537302,1.5498772,1.0610666,607.59,1.2718717,False
1433979216656166016,259.6454168453972,0.2104242,58.313714498543185,0.21163966,1.6783908933833631,0.23567437,-1.3278989844638087,0.23981316,10.375826957800218,0.26389647,,,86.86943219328366,34.90935051008048,19.096733,20.182173,17.941824,2.2403488,1.0492864,,1.4863468,False
1433979220950923136,259.64611709711744,0.16337904,58.31451720523745,0.1764087,1.6941232429847946,0.18843682,-8.417605008402017,0.19535424,8.039490808132362,0.2194368,,,86.87037622653146,34.908925897633424,18.849663,20.214794,17.681648,2.533146,0.95278174,435.6543,1.4405504,False
1433979354093862784,259.69056771428683,0.18644947,58.33861896498302,0.22078381,1.1537886833775406,0.2094793,-1.9704983137991257,0.24387804,-0.6050127534819724,0.2654603,,,86.89764436980566,34.88391675074008,19.070768,20.052116,18.072279,1.9798374,0.9620199,,1.3495805,False
1433979427109355008,259.7025199103846,0.07386331,58.35136689708082,0.08593426,0.7967218663150971,0.08154623,2.2166367671726035,0.10235781,-1.4829252378677578,0.1173563,,,86.91259718160875,34.87674825307101,17.679344,18.505896,16.779894,1.7260017,1.0031327,1028.1898,1.3025367,False
1433979461469093504,259.70250185746187,0.03748261,58.35483704397361,0.044432417,2.4886179086679445,0.041707143,-10.252396617992058,0.05316836,-9.142083411079419,0.061077274,,,86.91681706620558,34.87650941382597,16.340025,17.551544,15.253133,2.2984114,1.0406483,387.3187,1.3830394,False
1433979495828830976,259.63123481902056,0.025421754,58.346262261240966,0.023728736,0.46833252761224575,0.027246872,-8.137555969577118,0.031511147,-2.4322366638423536,0.037015345,,,86.90967528590407,34.91442541057475,15.315836,15.682971,14.781547,0.9014244,0.98143023,1590.4847,1.2056863,False
1433979525892557440,259.64602980799555,0.15652515,58.35028002784322,0.1722298,1.4342732261910205,0.17576386,-25.619121853402838,0.21138857,11.951513544886689,0.2266963,,,86.91387575918239,34.90639092848175,18.588974,20.127151,17.38466,2.7424908,1.112077,1068.6606,1.4521244,False
1433979564548307456,259.62386987799533,0.046188027,58.34526584726933,0.04759585,0.4539964237567649,0.051227584,-7.909120133697369,0.06569648,-2.462879713482984,0.06895052,,,86.9088055680472,34.91835261647801,16.585733,16.948614,16.064037,0.8845768,1.0985072,1965.9995,1.1997771,False
1433979736347001600,259.70652032650554,0.015581414,58.38857454855255,0.019031398,0.6970478971549666,0.01726417,0.2339030265929174,0.02124914,-8.300598624837468,0.024343513,-69.45304,6.959944,86.95764960361038,34.87198706928399,14.572665,14.87164,14.106876,0.76476383,1.0165021,1757.8575,1.1970943,False
