kleyna_ID,RA_initial,Dec_initial,RA_final,Dec_final,delta_theta_arcsec,omega_arcsec_per_year,v_tangential_km_s,v_circular_km_s,parallax,parallax_error,parallax_over_error
57,259.7172917,58.07027778,259.7151399,58.07183509,6.943727441,0.694372744,2.37228E+13,2.37228E+13,0.903185099,0.0174323,51.811012
84,259.648625,58.01391667,259.6458381,58.01212567,8.355684613,0.835568461,5.50913E+13,5.50913E+13,0.468004035,0.07103899,6.5879884
206,260.3975833,57.91652778,260.3985394,57.9180723,5.853102006,0.585310201,7.6944E+12,7.6944E+12,2.347263262,0.20874794,11.244486
222,259.9905417,57.90980556,259.9933146,57.91215532,9.983992381,0.998399238,1.26889E+14,1.26889E+14,0.242789544,0.02646962,9.172385
351,260.41425,57.77788889,260.4180213,57.77845268,7.518222939,0.751822294,2.66668E+13,2.66668E+13,0.86995224,0.15682569,5.547256
383,259.679375,57.64725,259.6783234,57.64950589,8.370061938,0.837006194,2.18855E+13,2.18855E+13,1.180109363,0.08604984,13.714253
400,259.8832083,57.55980556,259.8820591,57.56124654,5.642271895,0.564227189,1.93165E+13,1.93165E+13,0.901313561,0.02404181,37.489426
174,259.9729999,57.93791667,259.9726965,57.93788154,0.593464639,0.059346464,-2.56393E+14,-2.56393E+14,-0.007142322,0.09320921,-0.0766268
201,259.9890416,57.918,259.9887444,57.91792405,0.630631962,0.063063196,3.06347E+13,3.06347E+13,0.063520332,0.09322786,0.681345
203,260.06625,57.91747222,260.0660727,57.91743913,0.359346664,0.035934666,-1.07618E+13,-1.07618E+13,-0.103033295,0.2355085,-0.4374929
223,260.0313333,57.90911111,260.0310527,57.90906565,0.561120826,0.056112083,1.14042E+13,1.14042E+13,0.151824231,0.11778756,1.2889667
245,259.98275,57.89688889,259.9824025,57.89684233,0.685602417,0.068560242,4.54698E+13,4.54698E+13,0.046526482,0.07977796,0.5831997
254,259.9845417,57.89158333,259.9842928,57.89149016,0.582539663,0.058253966,-2.29431E+13,-2.29431E+13,-0.078347194,0.21107247,-0.3711862
265,259.9879167,57.88280556,259.9875953,57.88272222,0.684444001,0.0684444,3.70149E+13,3.70149E+13,0.057057416,0.11078491,0.5150288
