ID,V,RA_h,RA_m,RA_s,Dec_d,Dec_m,Dec_s,v_helio,v_err,RTD
100,17.58,17,20,52.10,+57,59,47.8,-294.43,0.90,12.5
101,18.40,17,19,20.05,+57,59,43.1,-306.59,2.13,4.3
104,18.11,17,21,56.99,+57,59,33.9,-314.16,5.37,1.6
105,17.51,17,19,51.86,+57,59,17.9,-302.99,0.76,15.2
106,17.18,17,19,10.88,+57,59,17.2,-297.17,0.72,15.4
107,18.54,17,19,56.45,+57,59,16.1,-294.55,3.06,2.9
109,17.20,17,18,42.30,+57,59,10.0,-290.49,0.77,14.2
111,17.69,17,20,17.06,+57,59,02.1,-304.97,1.37,7.5
112,18.40,17,17,38.60,+57,58,54.1,-285.65,3.42,2.5
115,17.46,17,19,35.51,+57,58,46.6,-282.60,1.04,11.3
116,17.26,17,19,42.44,+57,58,37.7,-293.36,3.07,2.4
117,19.07,17,21,36.85,+57,58,37.1,-303.84,2.97,2.3
121,18.78,17,20,41.10,+57,58,25.7,-295.70,2.20,3.8
122,18.48,17,20,34.12,+57,58,22.7,-296.04,1.81,5.4
123,18.46,17,20,10.54,+57,58,20.9,-272.80,1.25,8.1
125,18.11,17,20,53.77,+57,58,12.6,-288.64,1.36,8.2
129,19.32,17,20,33.53,+57,58,06.2,-286.38,3.40,1.8
13,18.85,17,18,06.88,+58,15,55.5,-289.49,4.75,1.1
130,18.14,17,20,31.22,+57,58,05.5,-302.57,1.33,7.7
134,17.64,17,20,05.74,+57,57,52.7,-284.28,0.82,13.9
136,19.29,17,18,25.19,+57,57,45.6,-302.00,2.66,2.7
138,18.90,17,22,43.71,+57,57,30.8,-279.77,1.76,5.8
14,18.26,17,19,16.94,+58,15,50.8,-290.17,1.81,5.2
140,19.69,17,20,55.57,+57,57,20.5,-269.48,8.27,1.4
141,19.06,17,22,18.65,+57,57,19.4,-281.89,2.49,3.5
145,17.40,17,21,03.60,+57,57,08.3,-287.75,0.69,16.2
146,18.60,17,20,24.57,+57,57,08.2,-290.76,1.51,6.6
149,18.22,17,20,01.66,+57,57,04.6,-296.58,1.18,8.9
151,17.76,17,19,57.99,+57,56,58.4,-292.71,1.11,10.1
153,19.64,17,21,38.81,+57,56,57.3,-285.46,4.48,1.2
154,17.69,17,20,27.42,+57,56,52.4,-291.41,0.80,13.0
158,19.20,17,20,11.09,+57,56,45.7,-278.82,2.27,3.7
16,17.22,17,21,02.26,+58,15,38.3,-277.35,0.89,12.2
160,18.37,17,19,50.11,+57,56,40.7,-281.15,2.46,3.7
163,18.43,17,22,11.25,+57,56,33.2,-311.32,1.92,4.6
164,19.27,17,18,45.70,+57,56,29.3,-287.29,3.45,2.1
166,17.61,17,19,36.06,+57,56,29.0,-288.50,0.68,16.9
168,19.01,17,20,14.84,+57,56,25.6,-286.26,3.36,2.3
171,18.61,17,21,17.93,+57,56,21.4,-291.42,1.76,5.4
173,18.66,17,20,40.35,+57,56,18.2,-292.09,1.46,6.9
174,18.40,17,19,53.52,+57,56,16.5,-295.86,1.38,7.5
176,18.32,17,20,17.07,+57,56,12.3,-295.03,1.14,9.4
177,19.52,17,22,06.60,+57,56,10.4,-302.82,4.23,2.0
18,18.69,17,21,42.56,+58,14,33.1,-276.97,4.35,2.4
184,18.37,17,21,03.26,+57,55,59.4,-290.53,0.84,13.2
185,18.18,17,17,55.41,+57,55,59.0,-291.46,1.27,7.8
186,18.95,17,19,26.83,+57,55,51.8,-279.99,1.77,5.0
187,19.18,17,21,41.83,+57,55,50.9,-283.17,2.86,2.7
189,17.83,17,18,57.81,+57,55,46.3,-296.67,1.22,8.4
192,18.57,17,19,22.97,+57,55,30.8,-280.06,1.68,5.7
197,19.06,17,20,24.16,+57,55,15.6,-289.69,2.10,4.2
198,17.81,17,19,45.19,+57,55,14.4,-297.05,0.89,12.8
199,19.84,17,18,24.05,+57,55,08.1,-303.03,5.46,1.4
201,18.36,17,19,57.37,+57,55,04.8,-306.26,1.88,5.5
203,19.64,17,20,15.90,+57,55,02.9,-303.53,5.17,1.1
205,19.10,17,20,44.74,+57,54,59.9,-293.71,3.94,2.2
206,19.25,17,21,35.42,+57,54,59.5,-296.36,2.90,2.4
208,17.85,17,19,41.21,+57,54,56.8,-285.52,0.82,14.0
212,18.73,17,20,25.02,+57,54,50.8,-277.27,1.40,6.4
216,17.89,17,20,53.79,+57,54,40.8,-284.47,1.09,9.8
219,18.31,17,18,44.56,+57,54,38.3,-284.47,1.24,8.9
220,18.96,17,19,10.33,+57,54,37.7,-295.81,2.44,3.4
222,18.34,17,19,57.73,+57,54,35.3,-296.41,1.04,10.4
223,18.83,17,20,07.52,+57,54,32.8,-299.08,1.89,4.8
224,18.09,17,19,17.65,+57,54,32.4,-289.52,1.36,7.7
23,18.43,17,20,14.55,+58,12,51.4,-301.23,2.11,4.2
230,17.66,17,19,40.04,+57,54,24.9,-304.72,0.74,15.2
233,17.77,17,18,57.66,+57,54,14.3,-278.58,1.14,8.8
236,19.21,17,17,56.52,+57,54,00.7,-287.88,3.09,2.4
240,17.47,17,22,10.75,+57,53,57.4,-324.43,0.63,16.2
245,18.23,17,19,55.86,+57,53,48.8,-293.61,1.43,7.3
248,18.28,17,20,15.77,+57,53,43.5,-298.30,1.30,8.2
250,18.65,17,21,49.22,+57,53,37.2,-291.54,2.04,4.7
253,17.56,17,20,34.22,+57,53,32.1,-286.16,0.94,12.5
254,19.64,17,19,56.29,+57,53,29.7,-296.04,4.48,1.1
255,19.02,17,20,41.62,+57,53,16.8,-285.73,3.64,1.9
259,18.00,17,20,17.01,+57,53,12.4,-290.06,1.14,10.2
262,17.39,17,22,13.68,+57,53,06.7,-300.23,0.77,14.6
265,18.68,17,19,57.10,+57,52,58.1,-272.54,1.68,5.7
270,19.04,17,21,13.88,+57,52,46.0,-280.86,3.38,2.7
272,18.48,17,19,56.66,+57,52,43.0,-295.53,1.38,8.3
273,18.18,17,20,06.97,+57,52,37.3,-274.88,3.88,2.0
275,17.53,17,19,13.51,+57,52,33.6,-286.74,0.99,11.4
276,19.10,17,18,31.14,+57,52,28.1,-302.25,4.23,1.2
277,19.56,17,20,45.61,+57,52,24.8,-302.09,5.58,0.8
278,18.54,17,19,56.98,+57,52,23.1,-272.94,1.93,5.1
279,18.29,17,21,14.27,+57,52,22.5,-290.85,1.34,7.9
281,19.51,17,20,13.23,+57,52,19.8,-291.10,4.74,1.4
284,17.15,17,18,10.43,+57,52,09.2,-306.42,0.55,19.3
285,17.63,17,20,13.59,+57,51,59.4,-294.22,1.11,10.1
286,18.35,17,20,20.44,+57,51,58.4,-292.34,1.10,9.8
287,18.65,17,20,56.73,+57,51,57.5,-292.73,2.43,3.9
288,19.13,17,19,13.94,+57,51,55.2,-298.03,2.31,3.4
29,18.49,17,18,05.77,+58,11,22.0,-286.57,1.91,4.3
291,18.50,17,18,30.61,+57,51,47.0,-283.07,2.46,3.9
