opt_source_id,RA_deg,Dec_deg,HJD,S/N,Vlos,e_Vlos,s_Vlos,Teff,e_Teff,s_Teff,k_Teff,logg,e_logg,s_logg,k_logg,[Fe/H],e_[Fe/H],s_[Fe/H],k_[Fe/H],sep_arcsec,opt_RA_deg,opt_Dec_deg,opt_radial_velocity,opt_radial_velocity_error,opt_phot_g_mean_mag,opt_bp_rp,opt_ruwe,opt_rbin_ell_key,opt_tbin_ell_key,opt_r_pc_ell,opt_rbin_circ_key,opt_r_pc_circ
1433149605068083072,259.917136,57.775324,2455331.743000,2.100000,-5.100000,311.900000,-0.000000,6734.000000,991.000000,-0.400000,2.200000,3.400000,1.300000,-0.100000,1.900000,-3.160000,0.930000,0.600000,2.600000,10.534108,259.912899,57.777183,10.902451,1.672421,13.449871,1.075346,1.016612,317.226367,0,344.532286,,139.057818
1433145103942384384,260.352587,57.840713,2455332.783000,0.800000,-325.600000,33.900000,15.900000,5058.000000,495.000000,1.300000,6.700000,4.400000,0.800000,-0.800000,3.500000,-0.420000,0.910000,-0.400000,3.000000,11.073140,260.357361,57.838980,-25.568779,4.926153,14.464841,0.853045,0.974687,317.226367,1,292.096676,,258.822997
1433145103942384384,260.352587,57.840713,2455708.932000,3.300000,-223.200000,217.100000,1.800000,6673.000000,1020.000000,-0.300000,2.100000,2.800000,1.300000,0.400000,2.200000,-2.580000,1.050000,0.000000,2.000000,11.073140,260.357361,57.838980,-25.568779,4.926153,14.464841,0.853045,0.974687,317.226367,1,292.096676,,258.822997
1433145103942384384,260.352587,57.840713,2455712.874000,2.000000,-38.300000,306.700000,0.200000,6621.000000,1039.000000,-0.300000,2.100000,3.300000,1.300000,-0.100000,1.900000,-3.110000,0.920000,0.500000,2.600000,11.073140,260.357361,57.838980,-25.568779,4.926153,14.464841,0.853045,0.974687,317.226367,1,292.096676,,258.822997
1433148986592786688,259.797435,57.711574,2455332.914000,1.900000,324.600000,308.900000,-1.500000,6629.000000,925.000000,-0.100000,2.200000,2.900000,1.200000,0.200000,2.200000,-1.680000,1.090000,-0.500000,2.800000,1.838667,259.797435,57.712085,12.964977,4.252214,14.249012,0.832152,1.014699,433.455141,0,424.710900,,356.765662
1433148986592786688,259.797435,57.711574,2455707.914000,2.700000,-278.000000,34.700000,16.800000,7077.000000,866.000000,-0.600000,2.500000,2.600000,1.000000,0.300000,2.500000,-0.970000,0.780000,-0.700000,3.600000,1.838667,259.797435,57.712085,12.964977,4.252214,14.249012,0.832152,1.014699,433.455141,0,424.710900,,356.765662
1433161734055760128,260.131577,57.926852,2455590.988000,1.200000,-132.100000,253.000000,1.000000,6792.000000,1041.000000,-0.500000,2.200000,3.100000,1.200000,0.100000,2.100000,-2.040000,1.630000,0.300000,1.900000,6.516115,260.129729,57.925331,-28.984253,2.208483,13.410553,0.879725,1.107701,158.525363,1,73.766101,,139.057818
1433212036712773632,260.467468,58.149630,2455708.760000,2.100000,11.800000,1.700000,0.200000,6119.000000,688.000000,0.300000,2.700000,3.400000,1.000000,0.000000,2.500000,0.040000,0.620000,-0.400000,2.800000,10.027828,260.471063,58.151669,15.148478,1.676848,12.672288,0.757434,1.138149,520.914855,1,516.279786,,425.667039
1433212036712773632,260.467468,58.149630,2455709.885000,1.500000,11.700000,1.700000,-0.100000,5401.000000,479.000000,1.000000,4.400000,3.400000,0.900000,0.200000,2.700000,-0.330000,0.480000,0.400000,3.500000,10.027828,260.471063,58.151669,15.148478,1.676848,12.672288,0.757434,1.138149,520.914855,1,516.279786,,425.667039
1433154827748339072,260.117790,57.886130,2455708.760000,2.400000,-134.500000,244.800000,1.100000,6149.000000,1089.000000,0.200000,1.900000,3.500000,1.200000,-0.200000,2.100000,-2.580000,1.020000,0.200000,2.400000,3.827167,260.117659,57.885069,-27.088090,0.691689,11.435532,0.707919,0.896182,158.525363,1,73.766101,,139.057818
1433154827748339072,260.117790,57.886130,2455709.885000,1.600000,34.000000,268.900000,-0.300000,6633.000000,1045.000000,-0.300000,2.100000,3.300000,1.300000,0.000000,2.000000,-2.820000,1.100000,0.400000,2.400000,3.827167,260.117659,57.885069,-27.088090,0.691689,11.435532,0.707919,0.896182,158.525363,1,73.766101,,139.057818
1433135517575844480,259.818908,57.587991,2455708.760000,2.200000,54.100000,255.900000,-0.400000,6729.000000,993.000000,-0.400000,2.200000,3.300000,1.300000,-0.000000,1.900000,-3.180000,0.890000,0.500000,2.500000,1.874102,259.818720,57.587480,3.803348,1.823217,10.335040,0.333016,0.971582,608.013242,0,605.303696,,464.947768
1433135517575844480,259.818908,57.587991,2455709.885000,1.500000,100.700000,255.100000,-0.700000,6772.000000,989.000000,-0.400000,2.300000,3.400000,1.300000,-0.200000,2.000000,-2.320000,1.380000,0.200000,1.900000,1.874102,259.818720,57.587480,3.803348,1.823217,10.335040,0.333016,0.971582,608.013242,0,605.303696,,464.947768
