times,F_nu
0.0,4.8231956648073634e-32
5.00695,4.839995170453459e-32
10.0139,4.857072919286261e-32
15.0209,4.874340171935154e-32
20.0278,4.89180098163444e-32
25.0348,4.9094581777874464e-32
30.0417,4.927316050113276e-32
35.0487,4.9453771215593e-32
40.0556,4.963645567366491e-32
45.0626,4.98212467861496e-32
50.0695,5.000817965819684e-32
55.0765,5.019729301087095e-32
60.0834,5.038863652369382e-32
65.0904,5.05822264450311e-32
70.0974,5.077812610542324e-32
75.1043,5.097636841567134e-32
80.1113,5.117699149455636e-32
85.1182,5.138003052472775e-32
90.1252,5.158554227360851e-32
95.1321,5.179355634165545e-32
100.139,5.200413206263877e-32
105.146,5.22173055425615e-32
110.153,5.243311231614319e-32
115.16,5.265162061633382e-32
120.167,5.287286160465561e-32
125.174,5.309688192707074e-32
130.181,5.332381551634625e-32
135.188,5.361060410560131e-32
140.195,1.6247251221292325e-31
145.202,1.6713767654896538e-28
150.209,1.670503034704412e-25
155.216,1.0795031268327506e-22
160.223,4.5096452355407726e-20
165.229,1.218726162214501e-17
170.236,2.1309541626652353e-15
175.243,2.4143948419331716e-13
180.25,1.7735326308032843e-11
185.257,8.460542936590501e-10
190.264,2.6247515356478983e-08
195.271,5.313392542559153e-07
200.278,7.0529722848012406e-06
205.285,6.169605055967258e-05
210.292,0.0003208176439662497
215.299,0.0009856273025882027
220.306,0.0021608056713781215
225.313,0.0036933257999107955
230.32,0.005189713715873737
235.327,0.006281853277139802
240.334,0.006864125143994898
245.341,0.007068519248839137
250.348,0.0070998009988439935
255.355,0.007094885081595364
260.362,0.007086358854049606
265.369,0.007077267447717429
270.376,0.007068090278445723
275.382,0.007059202988778856
280.389,0.007050057309112067
285.396,0.007040601024082137
290.403,0.007031590146354949
295.41,0.007022563919629112
300.417,0.007013388565954781
305.424,0.007003994209776647
310.431,0.006994971443758926
315.438,0.006985798175352973
320.445,0.00697620119866681
325.452,0.006966872670271606
330.459,0.006957462351617643
335.466,0.0069479785742704355
340.473,0.006938506035166498
345.48,0.006929194959887966
350.487,0.0069195786641905645
355.494,0.006909549749863363
360.501,0.006899755018463459
365.508,0.0068903078844201925
370.515,0.0068804120960893
375.522,0.006870219006149487
380.529,0.006860347306802436
385.535,0.006850338993494225
390.542,0.0068400295407481425
395.549,0.0068296205853312425
400.556,0.006819560505759932
405.563,0.006809029655458674
410.57,0.006798334248470413
415.577,0.006788047112078265
420.584,0.006777519198340692
425.591,0.0067666307393713775
430.598,0.006755983227289942
435.605,0.006745289353004979
440.612,0.006734380378950615
445.619,0.006723281640596281
450.626,0.00671235283035568
455.633,0.006701450322083959
460.64,0.006689869807544745
465.647,0.006678580818032882
470.654,0.006667054827713914
475.661,0.006655669852911362
480.668,0.006643595308410114
485.675,0.006632152795628179
490.682,0.006620827529995111
495.688,0.006609121831284902
500.695,0.006597221026258231
505.702,0.006585503252607174
510.709,0.006573566753691124
515.716,0.006561129000210152
520.723,0.006548809377094074
525.73,0.0065365040957178116
530.737,0.006523910304237373
535.744,0.006511370779705712
540.751,0.006499096505533902
545.758,0.006486595451905091
550.765,0.006473793882395334
555.772,0.006460935519014635
560.779,0.006447959415168371
565.786,0.006434624655112688
570.793,0.00642145098903341
575.8,0.006408160154202985
580.807,0.006394960871809766
585.814,0.006381291581003417
590.821,0.006367753856886811
595.828,0.006354221598613829
600.834,0.006340186929161978
605.841,0.00632619447757573
610.848,0.00631217317666935
615.855,0.0062978751095417815
620.862,0.006283825575398421
625.869,0.006269237011626357
630.876,0.006254730674237937
635.883,0.006240093435717765
640.89,0.0062253584759625075
645.897,0.006210295253627408
650.904,0.006195125224958534
655.911,0.006180132933565794
660.918,0.006164728900289523
665.925,0.006149439984398852
670.932,0.006133680055145535
675.939,0.006118383901047133
680.946,0.006102080447900317
685.953,0.006086140194083894
690.96,0.006069973157265496
695.967,0.006053936406035833
700.974,0.006037366112060487
705.981,0.006021157559820162
710.987,0.006006884641519084
715.994,0.005995776288387326
721.001,0.0060105377865905495
726.008,0.006069843545474877
731.015,0.00617805762609358
736.022,0.006318054533889357
741.029,0.006452187134673751
746.036,0.006546635990555609
751.043,0.006590135555457634
756.05,0.0066039529276318305
761.057,0.00659591037138446
766.064,0.006585566366525871
771.071,0.00657482756813896
776.078,0.006561573222983405
781.085,0.006547113745961003
786.092,0.006532454151377499
791.099,0.006517166900081784
796.106,0.006499848582425237
801.113,0.006488817349202596
806.12,0.006473909333809052
811.127,0.006458094712757887
816.134,0.00644172770437764
821.14,0.006424503065442576
826.147,0.006406397619303846
831.154,0.00638838642264563
836.161,0.0063690853258365175
841.168,0.006344895648164989
846.175,0.006340210481807457
851.182,0.006322202511178464
856.189,0.006302948618821191
861.196,0.006284265852442129
866.203,0.0062658098416002155
871.21,0.006246392536541327
876.217,0.006226520799090078
881.224,0.006206189369270491
886.231,0.006186308295217445
891.238,0.006167265572047784
896.245,0.006148104082274794
901.252,0.006127654369114037
906.259,0.00610847786570833
911.266,0.006088532326379308
916.273,0.006068278722901147
921.28,0.006047601558385938
926.287,0.006023320443013632
931.293,0.006001174713033271
936.3,0.005978618920609023
941.307,0.005957956005903972
946.314,0.005936320372355813
951.321,0.0059148689279918155
956.328,0.005890670476363679
961.335,0.005869980973788861
966.342,0.0058474916157500055
971.349,0.005824461314982145
976.356,0.005800820638617363
981.363,0.005777655926036441
986.37,0.005753857546119524
991.377,0.005729817053257005
996.384,0.0057055165640200285
1001.39,0.005681000210925822
1006.4,0.005656047914254137
1011.4,0.005630997561679988
1016.41,0.005604990230588743
1021.42,0.005580005247215701
1026.43,0.005554583112263513
1031.43,0.005529355580198219
1036.44,0.00550308430459503
1041.45,0.005477442076805526
1046.45,0.00544943002872192
1051.46,0.005422090057542394
1056.47,0.0053960483046249915
1061.47,0.00536934129447811
1066.48,0.00534303591181862
1071.49,0.005314184934272694
1076.5,0.005286460513926485
1081.5,0.005259221841544777
1086.51,0.005230144849698358
1091.52,0.005199462285288286
1096.52,0.0051705013319147146
1101.53,0.005140673385547889
1106.54,0.005111200881510337
1111.54,0.00508485506329674
1116.55,0.0050539134284836185
1121.56,0.005023021350422341
1126.56,0.004992403216535269
1131.57,0.00496321507923426
1136.58,0.0049321218916430236
1141.59,0.004899245801886866
1146.59,0.004864198374883893
1151.6,0.004839251862476774
1156.61,0.004806194031604415
1161.61,0.004774221039576162
1166.62,0.004743683556539515
1171.63,0.004711165817538607
1176.63,0.004679486993669519
1181.64,0.004646616271992157
1186.65,0.004614554156595344
1191.66,0.004582205159219207
1196.66,0.004550393141688362
