  irc    rlow      rmid      rup    bin_size
 ----   ------    ------    ------    ------
   1       0.500       2.883       5.265       4.765
   2       5.265       8.650      12.035       6.770
   3      12.035      16.820      21.605       9.570
   4      21.605      28.370      35.135      13.530
   5      35.135      44.715      54.295      19.160
   6      54.295      67.845      81.395      27.100
   7      81.395     100.565     119.735      38.340
   8     119.735     146.860     173.985      54.250
   9     173.985     212.360     250.735      76.750
  10     250.735     305.030     359.325     108.590
  11     359.325     436.140     512.955     153.630
  12     512.955     621.640     730.325     217.370
  13     730.325     884.090    1037.855     307.530
  14    1037.855    1255.410    1472.965     435.110
  15    1472.965    1780.765    2088.565     615.600
