     R     Theta      V_r      V_theta    V_rV_t      V_phi     v_phi     beta
      2.88      5.77    37.1749    55.1723     0.0000    62.9980     3.1488    -1.5408
      8.65      5.77    32.6096    22.2883     0.0000    46.3888     3.5361    -0.2513
     16.82      5.77    23.1616    22.1951     0.0000    30.6885     1.0390    -0.3379
     28.37      5.77    21.7493    17.7241     0.0000    25.3725     0.3854    -0.0127
     44.71      5.77    18.5690    11.3547     0.0000    16.6415     0.1028     0.4114
     67.84      5.77    13.4849     8.0824     0.0000    10.0149     0.1166     0.5446
    100.57      5.77    10.6386     7.4665     0.0000    10.4615     0.2132     0.2700
    146.86      5.77     9.5843     6.6145     0.0000     9.8195     0.1123     0.2369
    212.36      5.77     9.7141     5.8348     0.0000     9.3842     0.0413     0.3530
    305.03      5.77    10.8244     5.3742     0.0000     8.0349     0.0123     0.6012
    436.14      5.77    11.9172     4.5558     0.0000     8.9723     0.0012     0.6435
    621.64      5.77    13.6406     4.5521     0.0000     9.4290     0.0002     0.7054
    884.09      5.77    16.7236     5.9106     0.0000    10.6993     0.0002     0.7329
   1255.41      5.77    19.0560     6.7112     0.0000     6.7519     0.0002     0.8752
   1780.76      5.77    18.4930     6.0612     0.0000     1.1937     0.0003     0.9442
      2.88     17.56    42.9213    56.7675     0.0000    63.4970     2.7011    -0.9709
      8.65     17.56    30.4340    24.3939     0.0000    46.8939     3.2404    -0.5140
     16.82     17.56    25.3497    22.4351     0.0000    23.9034     0.9383     0.1631
     28.37     17.56    21.6304    17.3225     0.0000    24.0390     0.4100     0.0616
     44.71     17.56    17.6430    11.3665     0.0000    13.3893     0.0714     0.5045
     67.84     17.56    13.2500     8.2623     0.0000     9.9439     0.0875     0.5239
    100.57     17.56    10.5540     7.5875     0.0000    10.3407     0.1999     0.2614
    146.86     17.56     9.5586     6.7570     0.0000     9.3713     0.1236     0.2695
    212.36     17.56     9.8411     6.0876     0.0000     9.9096     0.0214     0.3017
    305.03     17.56    11.1159     5.6432     0.0000     8.6194     0.0102     0.5705
    436.14     17.56    12.2652     4.6719     0.0000     7.9184     0.0004     0.7191
    621.64     17.56    14.0594     4.7820     0.0000     7.4494     0.0006     0.8018
    884.09     17.56    17.0627     6.2686     0.0000     9.8893     0.0002     0.7646
   1255.41     17.56    19.1706     7.2882     0.0000     6.3217     0.0002     0.8734
   1780.76     17.56    18.1665     6.5916     0.0000     1.3148     0.0002     0.9316
      2.88     30.22    39.2908    53.8977     0.0000    65.8057     2.8037    -1.3460
